Timestamp,Shelby ABB-521 Frequency Delta (dF/dt),Shelby ABB-521 Digital Value 1,Shelby ABB-521 Status Flags,Shelby ABB-521 Frequency
01-Sep-2022 01:32:49.200,-0.24,0.0,8228.0,59.952
01-Sep-2022 01:32:49.233,0.0,0.0,8228.0,59.971
01-Sep-2022 01:32:49.266,0.0,0.0,8228.0,59.965
01-Sep-2022 01:32:49.300,-1.2,0.0,8228.0,59.955
01-Sep-2022 01:32:49.333,-0.23,0.0,8228.0,59.964
01-Sep-2022 01:32:49.366,0.08,0.0,8228.0,59.965
01-Sep-2022 01:32:49.400,-0.02,0.0,8228.0,59.96
01-Sep-2022 01:32:49.433,-0.82,0.0,8228.0,59.957
01-Sep-2022 01:32:49.466,0.63,0.0,8228.0,59.976
01-Sep-2022 01:32:49.500,0.85,0.0,8228.0,59.954
01-Sep-2022 01:32:49.533,-0.54,0.0,8228.0,59.969
01-Sep-2022 01:32:49.566,-0.27,0.0,8228.0,59.957
01-Sep-2022 01:32:49.600,0.49,0.0,8228.0,59.966
01-Sep-2022 01:32:49.633,0.11,0.0,8228.0,59.963
01-Sep-2022 01:32:49.666,-0.56,0.0,8228.0,59.962
01-Sep-2022 01:32:49.700,-0.45,0.0,8228.0,59.964
01-Sep-2022 01:32:49.733,0.32,0.0,8228.0,59.962
01-Sep-2022 01:32:49.766,0.0,0.0,8228.0,59.966
01-Sep-2022 01:32:49.800,1.13,0.0,8228.0,59.966
01-Sep-2022 01:32:49.833,0.0,0.0,8228.0,59.96
01-Sep-2022 01:32:49.866,0.24,0.0,8228.0,59.965
01-Sep-2022 01:32:49.900,-0.27,0.0,8228.0,59.964
01-Sep-2022 01:32:49.933,-0.02,0.0,8228.0,59.965
01-Sep-2022 01:32:49.966,-0.32,0.0,8228.0,59.959
01-Sep-2022 01:32:50.000,-0.01,0.0,8228.0,59.969
01-Sep-2022 01:32:50.033,0.14,0.0,8228.0,59.968
01-Sep-2022 01:32:50.066,0.03,0.0,8228.0,59.964
01-Sep-2022 01:32:50.100,-0.17,0.0,8228.0,59.96
01-Sep-2022 01:32:50.133,-0.04,0.0,8228.0,59.969
01-Sep-2022 01:32:50.166,0.71,0.0,8228.0,59.965
01-Sep-2022 01:32:50.200,-2.05,0.0,8228.0,59.964
01-Sep-2022 01:32:50.233,0.11,0.0,8228.0,59.969
01-Sep-2022 01:32:50.266,0.07,0.0,8228.0,59.963
01-Sep-2022 01:32:50.300,-0.4,0.0,8228.0,59.963
01-Sep-2022 01:32:50.333,0.22,0.0,8228.0,59.959
01-Sep-2022 01:32:50.366,0.65,0.0,8228.0,59.965
01-Sep-2022 01:32:50.400,0.11,0.0,8228.0,59.964
01-Sep-2022 01:32:50.433,-0.91,0.0,8228.0,59.961
01-Sep-2022 01:32:50.466,0.55,0.0,8228.0,59.966
01-Sep-2022 01:32:50.500,0.0,0.0,8228.0,59.963
01-Sep-2022 01:32:50.533,0.1,0.0,8228.0,59.965
01-Sep-2022 01:32:50.566,-0.45,0.0,8228.0,59.963
01-Sep-2022 01:32:50.600,0.29,0.0,8228.0,59.96
01-Sep-2022 01:32:50.666,-0.71,0.0,8228.0,59.964
01-Sep-2022 01:32:50.700,-0.16,0.0,8228.0,59.968
01-Sep-2022 01:32:50.733,0.81,0.0,8228.0,59.968
01-Sep-2022 01:32:50.766,0.51,0.0,8228.0,59.968
01-Sep-2022 01:32:50.800,-1.62,0.0,8228.0,59.975
01-Sep-2022 01:32:50.833,-1.04,0.0,8228.0,59.962
01-Sep-2022 01:32:50.866,-0.36,0.0,8228.0,59.957
01-Sep-2022 01:32:50.900,-0.54,0.0,8228.0,59.963
01-Sep-2022 01:32:50.933,0.93,0.0,8228.0,59.965
01-Sep-2022 01:32:50.966,-0.04,0.0,8228.0,59.964
01-Sep-2022 01:32:51.000,0.29,0.0,8228.0,59.972
01-Sep-2022 01:32:51.033,0.68,0.0,8228.0,59.964
01-Sep-2022 01:32:51.066,-0.11,0.0,8228.0,59.962
01-Sep-2022 01:32:51.100,-0.73,0.0,8228.0,59.962
01-Sep-2022 01:32:51.133,0.81,0.0,8228.0,59.974
01-Sep-2022 01:32:51.166,-1.18,0.0,8228.0,59.958
01-Sep-2022 01:32:51.200,-0.1,0.0,8228.0,59.966
01-Sep-2022 01:32:51.233,0.57,0.0,8228.0,59.97
01-Sep-2022 01:32:51.266,0.43,0.0,8228.0,59.966
01-Sep-2022 01:32:51.300,-0.98,0.0,8228.0,59.962
01-Sep-2022 01:32:51.333,-0.18,0.0,8228.0,59.964
01-Sep-2022 01:32:51.366,-0.11,0.0,8228.0,59.974
01-Sep-2022 01:32:51.400,1.53,0.0,8228.0,59.964
01-Sep-2022 01:32:51.433,-0.49,0.0,8228.0,59.964
01-Sep-2022 01:32:51.466,0.96,0.0,8228.0,59.971
01-Sep-2022 01:32:51.500,-0.97,0.0,8228.0,59.959
01-Sep-2022 01:32:51.533,-2.18,0.0,8228.0,59.959
01-Sep-2022 01:32:51.566,0.08,0.0,8228.0,59.966
01-Sep-2022 01:32:51.600,-1.26,0.0,8228.0,59.968
01-Sep-2022 01:32:51.633,-0.89,0.0,8228.0,59.963
01-Sep-2022 01:32:51.666,0.65,0.0,8228.0,59.964
01-Sep-2022 01:32:51.700,0.16,0.0,8228.0,59.967
01-Sep-2022 01:32:51.766,0.32,0.0,8228.0,59.961
01-Sep-2022 01:32:51.800,-0.48,0.0,8228.0,59.964
